reg_num,full_name,inn,kpp,tofk
03482000644,"Государственное образовательное учреждение дополнительного образования детей Московской области ""Специализированная детско-юношеская школа олимпийского резерва по синхронному плаванию и водному поло""",5075033299,507501001,4847
01483000439,Администрация муниципального образования городского поселения Снегири,5017070855,501701001,4816
03483002534,"Муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа ""Арион""",5032148880,503201001,4835
03483003964,Муниципальное общеобразовательное учреждение Раменская средняя общеобразовательная школа №5,5040039821,504001001,4845
03483002533,"Муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа ""Горки-Х""",5032079588,503201001,4835
03732000763,Психоневрологический интернат №10 Департамента социальной защиты населения города Москвы,5003009314,500301001,7306
03483003101,Муниципальное дошкольное образовательное учреждение детский сад №23 общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей,5024059186,502401001,4824
03483001229,"Муниципальное учреждение городского округа Балашиха ""Балашихинская стоматологическая поликлиника""",5001044169,500101001,4801
03483002531,Муниципальное образовательное учреждение дополнительного образования детей Одинцовская детско-юношеская спортивная школа,5032085990,503201001,4835
03483003100,Муниципальное дошкольное образовательное учреждение центр развития ребенка - детский сад № 45,5024041421,502401001,4824
03483001222,Муниципальное дошкольное образовательное учреждение детский сад № 82 муниципального образования Люберецкий муниципальный район Московской области,5027042448,502701001,4830
03483001223,Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 88 муниципального образования Люберецкий муниципальный район Московской области,5027092784,502701001,4830
03483001220,Муниципальное дошкольное образовательное учреждение - Детский сад комбинированного вида № 77 муниципального образования Люберецкий муниципальный район Московской области,5027090650,502701001,4830
03483001221,Муниципальное дошкольное образовательное учреждение ДЕТСКИЙ САД № 80 муниципального образования Люберецкий муниципальный район Московской области,5027080010,502701001,4830
03483001226,"Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 103 ""Росинка"" муниципального образования Люберецкий муниципальный район Московской области",5027093548,502701001,4830
03483001227,Муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа муниципального образования Люберецкий муниципальный район Московской области,5027091332,502701001,4830
03483001224,"Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 89 ""Львенок"" муниципального образования Люберецкий муниципальный район Московской области",5027090667,502701001,4830
03483001225,"Муниципальное дошкольное образовательное учреждение - Детский сад комбинированного вида № 100 ""Дюймовочка"" муниципального образования Люберецкий муниципальный район Московской области",5027093530,502701001,4830
03483003866,Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста - Прогимназия №48,5040040658,504001001,4845
03483003867,Муниципальное образовательное учреждение средняя общеобразовательная школа № 5,5018044784,501801001,4817
03483003864,"Муниципальное бюджетное учреждение культуры Рузского муниципального района военно-исторический музей ""Музей Зои Космодемьянской""",5075016952,507501001,4847
03483003865,"Муниципальное учреждение ""Телевизионный центр Рузского муниципального района""",5075034077,507501001,4847
03483003862,Отдел культуры Администрации Рузского муниципального района,5075001297,507501001,4847
03483003863,"Муниципальное бюджетное учреждение культуры Рузского муниципального района ""Централизованная библиотечная система""",5075017850,507501001,4847
03483003860,"Муниципальное учреждение городского поселения Видное Ленинского муниципального района Московской области ""Городской центр спорта""",5003084199,500301001,4825
03483003861,"Муниципальное учреждение ""Центр Спорта ""Московский""",5003084336,500301001,4825
03482000535,Государственное учреждение здравоохранения Московский областной противотуберкулезный диспансер,7715186733,505001001,4861
03482000536,"Государственное образовательное учреждение среднего профессионального образования Московской области ""Фрязинское медицинское училище""",5052004703,505201001,4861
03482000537,"Государственное учреждение здравоохранения ""Фрязинский дом ребенка для детей с поражением центральной нервной системы с нарушением психики""",5052003467,505201001,4861
03483000897,"Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида ""Ладушки""",5027051523,502701001,4830
03482000531,"Государственное образовательное учреждение среднего профессионального образования Московской области ""Егорьевский промышленно-экономический техникум""",5011025285,501101001,4810
03483003868,"Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида № 3 ""Звездочка""",5078000534,507801001,4809
03483003869,"Муниципальное образовательное учреждение дополнительного образования детей ""Центр развития творчества детей и юношества ""Спутник"" Орехово-Зуевского муниципального района",5034021706,503401001,4837
03483003107,Муниципальное дошкольное образовательное учреждение детский сад № 12 общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей,5024033318,502401001,4824
03483000994,"Комитет по физической культуре, спорту и работе с молодежью администрации Ступинского муниципального района",5045035147,504501001,4853
03483003106,Муниципальное дошкольное образовательное учреждение детский сад № 11 общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей,5024033300,502401001,4824
01483000511,Комитет по образованию и делам молодежи Администрации г.Подольска,5036047932,503601001,4840
01483000513,Финансовое управление Администрации Мытищинского муниципального района,5029127231,502901001,4832
01483000512,Администрация городского округа Климовск,5021006771,502101001,4840
03483003006,Муниципальное общеобразовательное учреждение - Тропаревская средняя общеобразовательная школа,5028016923,502801001,4831
03483004484,"Муниципальное образовательное учреждение дополнительного образования детей ""Школа фольклорного искусства ""Моя Русь""",5036041144,503601001,4840
03482000224,"Государственное учреждение здравоохранения Московский областной санаторий ""Центр медицинской и социальной реабилитации детей""",5027024745,502701001,4830
03483004338,Муниципальное учреждение культуры клубного типа Культурно-спортивный комплекс Назарьевский,5032125210,503201001,4835
03482000225,"Государственное учреждение здравоохранения Московской области ""Наро-Фоминский противотуберкулёзный диспансер""",5030032672,503001001,4833
03483001649,"Муниципальное дошкольное образовательное учреждение ""Детский сад №3 ""Одуванчик""",5071001641,507101001,4860
03483001318,"Муниципальное дошкольное образовательное учреждение детский сад № 37 ""Автомобилист"" общеразвивающего вида",5031026343,503101001,4863
03483001316,Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №33 г. Электроугли,5031027932,503101001,4863
03483001641,"Муниципальное общеобразовательное учреждение ""Лотошинская средняя общеобразовательная школа №2""",5071003913,507101001,4860
03483001642,"Муниципальное учреждение ""Управление образования администрации Воскресенского муниципального района Московской области""",5005000902,500501001,4804
03483001643,"Муниципальное общеобразовательное учреждение ""Монасеинская основная общеобразовательная школа""",5071003952,507101001,4860
03483001644,"Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста ""Начальная школа - детский сад ""Солнышко""",5071001680,507101001,4860
03483001645,"Муниципальное общеобразовательное учреждение ""Савостинская средняя общеобразовательная школа""",5071003991,507101001,4860
03483001310,"Муниципальное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей ""Детский дом ""Березка"" Ступинского муниципального района",5045026311,504501001,4853
03483001647,"Муниципальное дошкольное образовательное учреждение ""Детский сад общеразвивающего вида №6 ""Дубок""",5071001585,507101001,4860
03482000621,"Государственное образовательное учреждение дополнительного образования детей Московской области ""Детская хоровая студия ""Пионерия""",5012026965,501201001,4801
03482000622,"Государственное учреждение здравоохранения Московской области ""Клинский противотуберкулезный диспансер""",5020006088,502001001,4820
03482000623,Балашихинское управление социальной защиты населения Министерства социальной защиты населения Московской области,7714097791,500131001,4801
03483004401,Муниципальное учреждение культуры Культурный центр Барвиха,5032201196,503201001,4835
03482000626,"Государственное образовательное учреждение среднего профессионального образования Московской области ""Училище (техникум) олимпийского резерва по баскетболу""",5047078160,504701001,4857
03482000627,"Государственное бюджетное учреждение социального обслуживания Московской области ""Клинский центр социального обслуживания граждан пожилого возраста и инвалидов ""Дом ветеранов""",5020031447,502001001,4820
03482000628,"Государственное бюджетное учреждение социального обслуживания Московской области ""Озерский социальный приют для детей и подростков ""Гнездышко""",5033008815,503301001,4853
03482000629,"государственное бюджетное учреждение социального обслуживания Московской области ""Электростальский реабилитационный центр для детей и подростков с ограниченными возможностями ""Золотой ключик""",5053022215,505301001,4863
03732000181,"Государственное бюджетное учреждение города Москвы ""Туберкулезная больница №11 Департамента здравоохранения города Москвы""",5044015638,504401001,7310
03483003054,Муниципальное общеобразовательное учреждение Ловецкая средняя общеобразовательная школа,5072712990,507201001,4828
03483001799,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа №3"" Ступинского муниципального района",5045025879,504501001,4853
03483001792,"Муниципальное учреждение ""Дворец спорта ""Егорьевск""",5011026899,501101001,4810
03483001793,"Муниципальное учреждение ""Спортивно-оздоровительный лагерь ""Ракета""",5011028328,501101001,4810
03483001791,"Муниципальное социальное учреждение ""многопрофильный молодежный центр ""Маяк""",5011022767,501101001,4810
03483001794,муниципальное общеобразовательное учреждение лицей имени Героя Советского Союза Вениамина Васильевича Гусева городского округа Рошаля Московской области,5055001267,505501001,4859
03483001795,"Муниципальное учреждение ""Физкультурно-оздоровительный комплекс ""Орбита"" муниципального образования сельское поселение Реммаш Сергиево-Посадского муниципального района Московской области",5042072976,504201001,4849
03482000670,"Государственное образовательное учреждение среднего профессионального образования Московской области ""Орехово-Зуевский промышленно-экономический колледж имени Саввы Морозова""",5034038562,503401001,4837
03483004877,"Муниципальное учреждение культуры ""Жуковский городской музей""",5013004629,501301001,4845
03483003502,"Муниципальное учреждение ""Хозяйственно-эксплуатационная контора""",5034020371,503401001,4837
03483001002,"Муниципальное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа по футболу ""Виктория""",5022029436,502201001,4870
03483001003,"Муниципальное образовательное учреждение дополнительного образования детей ""Комплексная детско-юношеская спортивная школа ""Оптимист""",5028015983,502201001,4870
03483001000,"Муниципальное учреждение Спортивный комплекс""Авангард""",5022064416,502201001,4870
03483001001,"Муниципальное образовательное учреждение дополнительного образования детей ""Детско-юношеская спортивная школа по греко-римской борьбе""",5022031026,502201001,4870
03483001006,"Муниципальное учреждение ""Детский оздоровительный лагерь ""Орленок""",5022034130,502201001,4870
03483001004,"Муниципальное образовательное учреждение дополнительного образования детей ""Специализированная детско-юношеская спортивная школа олимпийского резерва по зимним видам спорта""",5022034570,502201001,4870
03483003989,"Муниципальное образовательное учреждение дополнительного образования (повышения квалификации) ""Методический центр""",5016011134,501601001,4861
03483001008,Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида № 12 муниципального образования Люберецкий муниципальный район Московской области,5027088403,502701001,4830
03483001009,Муниципальное дошкольное образовательное учреждение детский сад № 64 муниципального образования Люберецкий муниципальный район Московской области,5027080059,502701001,4830
03483003718,Муниципальное общеобразовательное учреждение Луховицкая средняя общеобразовательная школа №8,5072713183,507201001,4828
03482000705,"государственное учреждение Московской области ""Черноголовское информационное агентство Московской области""",5031069040,503101001,4863
03483004331,"Муниципальное образовательное учреждение дополнительного образования детей ""Детская школа искусств имени Д.Б. Кабалевского пос. Ватутинки""",5003041406,500301001,4825
03483000842,"Муниципальное учреждение культуры ""Красковский культурный центр""",5027065999,502701001,4830
01480000002,Совет депутатов Солнечногорского муниципального района Московской области,5044053626,504401001,4852
03483003635,муниципальное дошкольное образовательное учреждение детский сад №18 общеразвивающего вида д.Красный Балтиец,5028017370,502801001,4831
03483000938,Управление жилищно-коммунального хозяйства Администрации городского округа Жуковский,5013049796,501301001,4845
01483000420,Администрация города Красноармейска,5023001560,502301001,4843
03483000661,"Муниципальное учреждение здравоохранения ""Воскресенская районная больница №3""",5005041056,500501001,4804
03483000663,"Муниципальное дошкольное образовательное учреждение ""Детский сад №3""Теремок"" комбинированного вида""",5079006828,507901001,4860
03483000662,"Муниципальное общеобразовательное учреждение ""Ивашковская средняя общеобразовательная школа""",5079006546,507901001,4860
03483000665,"Муниципальное дошкольное образовательное учреждение ""Детский сад №4 ""Лесная сказка""",5079006835,507901001,4860
03483000667,"Муниципальное дошкольное образовательное учреждение ""Серединский детский сад №11""Солнышко"" комбинированного вида""",5079006793,507901001,4860
03483001537,Муниципальное общеобразовательное учреждение Яковлевская средняя общеобразовательная школа,5003021431,500301001,4825
03483000669,"Муниципальное дошкольное образовательное учреждение ""Ивашковский детский сад №14""",5079006923,507901001,4860
03483000668,"Муниципальное дошкольное образовательное учреждение ""Детский сад №8 ""Колокольчик""",5079006874,507901001,4860
03483002919,"Муниципальное учреждение культуры ""Дворец культуры им. Ю.А. Гагарина""",5042041061,504201001,4849
03483000461,"Муниципальное учреждение ""Районный молодежный центр ""Маяк""",5029071860,502901001,4832
03483000460,"Муниципальное образовательное учреждение дополнительного образования детей ""Детско-юношеский центр ""Турист""",5029100494,502901001,4832
03483002110,"Муниципальное дошкольное образовательное учреждение детский сад комбинированного вида №34 ""Белочка""",5003040427,500301001,4825
03483000466,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа N 7,5013024103,501301001,4845
03483000465,"Муниципальное лечебно-профилактическое учреждение здравоохранения ""Шатурская городская стоматологическая поликлиника""",5049012824,504901001,4859
03481000274,"Федеральное государственное учреждение ""Научно-исследовательский центр по проблемам управления ресурсосбережением и отходами""",5029006847,502901001,4832
03483001824,"Муниципальное образовательное учреждение дополнительного образования детей ""Михайлово-Ярцевская детская школа искусств""",5074018971,507401001,4840
03481000271,Учреждение Российской академии наук Больница РАН (г. Троицк),5046050660,504601001,4855
03483001533,"Муниципальное дошкольное образовательное учреждение детский сад №21 ""Калинка""",5022028400,502201001,4870
03483004786,"Муниципальное дошкольное образовательное учреждение детский сад общеразвивающего вида №8 ""Колокольчик""",5016017810,501601001,4861
03483004430,"муниципальное дошкольное образовательное учреждение ""Центр развития ребенка - детский сад № 66""",5053026587,505301001,4863
03483001530,"Муниципальное учреждение Щёлковского муниципального района ""Строительство и инвестиции""",5050019366,505001001,4861
03483000145,Комитет муниципального заказа администрации Ленинского муниципального района,5003052704,500301001,4825
03483004347,Муниципальное общеобразовательное учреждение Матырская средняя общеобразовательная школа,5072713063,507201001,4828
03483001827,"Муниципальное учреждение здравоохранения ""Стоматологическая поликлиника""",5026005813,502601001,4830
